基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
工银聚焦30股票,001496,1.90亿元（2019-12-31）,6.73%,12.13%,15.36%,22.77%,-4.54%,-15.90%,胡志利/王筱苓,121天,10.51%,4年又203天/9年又197天
诺安高端制造股票,001707,3.27亿元（2019-12-31）,9.42%,5.28%,2.40%,14.67%,--,19.60%,史高飞,2年又273天,19.60%,5年又42天
广发电子信息传媒股票,005310,0.61亿元（2019-12-31）,10.27%,34.40%,47.43%,68.09%,--,47.87%,观富钦,340天,60.07%,2年又23天
长信创新驱动股票,519935,0.23亿元（2019-12-31）,10.09%,33.47%,32.93%,41.19%,64.42%,65.90%,沈佳,68天,31.88%,86天
国富中小盘股票,450009,30.79亿元（2019-12-31）,4.50%,5.04%,8.59%,18.97%,45.17%,198.18%,赵晓东,9年又107天,198.18%,10年又188天
工银互联网加股票,001409,36.71亿元（2019-12-31）,10.17%,20.73%,23.28%,42.51%,4.25%,-53.40%,张继圣,1年又43天,71.96%,1年又79天
南方产业活力,000955,11.29亿元（2019-12-31）,7.83%,18.71%,19.84%,40.51%,12.78%,37.70%,蒋秋洁,358天,41.38%,5年又81天
华夏优势精选股票,005894,1.35亿元（2019-12-31）,2.88%,20.64%,25.79%,35.17%,--,54.70%,李湘杰,1年又213天,54.70%,5年又299天
华夏领先股票,001042,17.29亿元（2019-12-31）,8.51%,16.75%,17.98%,20.93%,-10.11%,-32.40%,林晶,5天,0.90%,3年又33天
中庚小盘价值股票,007130,28.11亿元（2019-12-31）,8.76%,21.56%,15.61%,--,--,17.00%,丘栋荣,339天,17.00%,4年又304天
华安新丝路主题股票,001104,15.05亿元（2019-12-31）,5.94%,10.57%,16.39%,44.88%,63.10%,56.90%,谢昌旭,120天,8.73%,1年又128天
国泰金鑫股票,519606,10.72亿元（2019-12-31）,6.07%,21.56%,26.06%,40.66%,30.37%,90.60%,申坤,3年又264天,58.57%,4年又278天
农银信息传媒股票,001319,16.53亿元（2019-12-31）,2.73%,23.27%,33.15%,46.63%,40.81%,6.00%,韩林,1年又304天,41.69%,3年又308天
景顺长城中小板创业板精选股票,000586,5.42亿元（2019-12-31）,11.17%,27.62%,38.49%,46.59%,23.12%,113.00%,李孟海,4年又279天,-18.70%,5年又6天
工银农业产业股票,001195,8.80亿元（2019-12-31）,16.38%,17.31%,21.48%,31.56%,52.58%,-11.20%,杨柯,4年又287天,-11.20%,6年又327天
国泰互联网+股票,001542,17.07亿元（2019-12-31）,4.47%,16.12%,15.58%,23.10%,57.21%,118.84%,彭凌志,3年又194天,72.86%,4年又98天
德邦量化新锐股票C,167706,0.43亿元（2019-12-31）,10.22%,14.60%,16.85%,19.48%,--,12.00%,王本昌,1年又338天,12.00%,6年又17天
德邦量化新锐股票A,167705,0.54亿元（2019-12-31）,10.24%,14.67%,16.94%,19.74%,--,12.57%,王本昌,1年又338天,12.57%,6年又17天
汇丰晋信消费红利股票,540009,2.58亿元（2019-12-31）,9.86%,14.63%,13.81%,25.23%,60.31%,65.76%,是星涛,3年又361天,103.97%,4年又17天
景顺长城量化小盘股票,005457,3.64亿元（2019-12-31）,14.86%,18.03%,13.88%,10.92%,--,10.24%,黎海威,2年又30天,10.24%,6年又131天
上投摩根新兴服务股票,001482,0.64亿元（2019-12-31）,6.68%,25.04%,33.51%,52.72%,61.49%,51.80%,杨景喻/郭晨,4年又69天,22.92%,4年又217天/8年又321天
汇丰晋信大盘波动股票A,002334,0.64亿元（2019-12-31）,3.04%,2.04%,1.98%,0.29%,13.18%,32.81%,方磊,3年又362天,32.81%,7年又220天
鹏华优势企业,005268,3.63亿元（2019-12-31）,9.96%,16.50%,23.58%,60.86%,--,47.64%,陈璇淼,1年又111天,86.60%,3年又344天
汇丰晋信大盘波动股票C,002335,0.06亿元（2019-12-31）,3.00%,1.89%,1.65%,-0.25%,11.71%,30.34%,方磊,3年又362天,30.34%,7年又220天
博时工业4.0主题股票,002595,0.61亿元（2019-12-31）,8.28%,21.71%,30.93%,45.62%,59.32%,72.70%,兰乔,277天,52.97%,4年又99天
